title,price,nop,image,link,scrapedAt
Women's Oversized Sweatshirt Los Angeles California Crewneck Long Sleeve Casual Loose Pullover Tops,19,,https://m.media-amazon.com/images/I/51sCOsngFgL._AC_UL320_.jpg,https://www.amazon.com/California-Sweatshirt-Oversized-Crewneck-Pullover/dp/B08LNMCDS4/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1,2025-02-19T06:56:44.259Z
City Football Fade Color Soft Classic Pullover Fans Est. 1960 Vintage Style Unisex Sweatshirt Hoodie,29,stylenotcom sweatshirt,https://m.media-amazon.com/images/I/61bQPLEoXDL._AC_UL320_.jpg,https://www.amazon.com/EULUCY-Football-Classic-Pullover-Sweatshirt/dp/B0CMZVY5KK/ref=sr_1_fkmr0_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr0,2025-02-19T06:56:44.813Z
City Football Fade Color Soft Classic Pullover Fans Est. 1960 Vintage Style Unisex Sweatshirt Hoodie,29,35,https://m.media-amazon.com/images/I/61bQPLEoXDL._AC_UL320_.jpg,https://www.amazon.com/EULUCY-Football-Classic-Pullover-Sweatshirt/dp/B0CMZVY5KK/ref=sr_1_fkmr0_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr0,2025-02-19T06:56:45.063Z
Womens Oversized Sweatshirts Hoodies Crewneck Shirts Fall Outfits Teen Girls Y2k Winter Clothes,24,zara sweatshirt,https://m.media-amazon.com/images/I/71HEerq2BqL._AC_UL320_.jpg,https://www.amazon.com/Oversized-Sweatshirts-Hoodies-Crewneck-Sweaters/dp/B0C6GP9LLF/ref=sr_1_fkmr1_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr1,2025-02-19T06:56:45.373Z
Womens Oversized Sweatshirts Hoodies Crewneck Shirts Fall Outfits Teen Girls Y2k Winter Clothes,24,"1,862",https://m.media-amazon.com/images/I/71HEerq2BqL._AC_UL320_.jpg,https://www.amazon.com/Oversized-Sweatshirts-Hoodies-Crewneck-Sweaters/dp/B0C6GP9LLF/ref=sr_1_fkmr1_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr1,2025-02-19T06:56:45.646Z
Womens Crewneck Sweatshirt Graphic Long Sleeve Top Pullover Oversized Sweaters,14,54,https://m.media-amazon.com/images/I/61riwYmy4LL._AC_UL320_.jpg,https://www.amazon.com/Zoyami-Oversized-Sweatshirt-Pullover-Crewneck/dp/B0DFXSGY7Z/ref=sr_1_fkmr1_2?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-2-fkmr1,2025-02-19T06:56:45.807Z
"Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack",12,sweatshirt,https://m.media-amazon.com/images/I/61neCjTolQL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Ecosmart-Fleece-Sweatshirt-Black/dp/B01L8JJ57U/ref=sr_1_fkmr2_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr2,2025-02-19T06:56:45.961Z
"Men's EcoSmart Fleece, Pullover Crewneck Sweatshirt, 1 or 2 Pack",12,,https://m.media-amazon.com/images/I/61neCjTolQL._AC_UL320_.jpg,https://www.amazon.com/Hanes-Ecosmart-Fleece-Sweatshirt-Black/dp/B01L8JJ57U/ref=sr_1_fkmr2_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr2,2025-02-19T06:56:46.306Z
Womens Hoodies Oversized Sweatshirts Pullover Fleece Sweaters Long Sleeve Winter Fall Outfits Fashion Y2k Clothes,23,"2,449",https://m.media-amazon.com/images/I/71Vx0oTSccL._AC_UL320_.jpg,https://www.amazon.com/EFAN-Oversized-Sweatshirts-Pullover-Sweaters/dp/B0C7BDG1FX/ref=sr_1_fkmr2_2?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-2-fkmr2,2025-02-19T06:56:46.668Z
Womens Oversized Sweatshirts Fall Fashion Hoodies Half Zip Pullover Long Sleeve Shirts Clothes Outfits,19,pullover,https://m.media-amazon.com/images/I/81O6ERy19CL._AC_UL320_.jpg,https://www.amazon.com/Trendy-Queen-Oversized-Pullover-Sweatshirts/dp/B0B5H1SJVY/ref=sr_1_fkmr3_1?dib=eyJ2IjoiMSJ9.uhQmU7NgsoxAW4hDKx4vmga5b8NtBmll--wFje99GOyNfh6NhKmNoY05wv6dvvlzz9VsC7VEBmXcABnsJAKG08TqMfH9xSjtYazsdKYarhqPK99my6xbhBy1bNS6Cq2zEVkNMpgV9w2Op3aERMwWcA.pAnHLY6kYqcsOvr6BbiuCRLF11OjZ_Tf8VN1oo_R1gY&dib_tag=se&keywords=STYLENOTCOM+ZARA+SWEATSHIRT&qid=1739948194&sr=8-1-fkmr3,2025-02-19T06:56:46.807Z
